457,114
446,117
437,120
421,125
413,128
398,135
394,137
387,145
384,150
377,164
373,172
368,191
367,200
369,219
372,235
376,247
379,252
390,267
397,274
419,289
443,302
454,306
475,314
485,318
507,325
524,329
531,329
542,325
550,320
554,317
563,310
571,301
575,295
583,281
591,264
595,247
596,242
596,235
596,232
593,226
590,222
581,212
571,203
566,199
557,193
550,189
546,187
538,181
531,177
527,174
525,174
523,172
522,172
521,171
519,171
518,171
519,171
